nda_number,product_number,nadac_NDC
11228,1,
11245,3,
11265,2,
11270,2,
11276,1,
11283,3,
11283,6,
11283,8,
11283,10,
11284,1,
11284,2,
11287,1,
11294,2,
11300,3,
11316,1,
11316,3,
11316,4,
11323,2,
11324,2,
11325,1,
11325,4,
11325,5,
11338,1,
11340,2,
11359,1,
11359,2,
11361,2,
11366,1,
11366,2,
11386,1,
11386,3,
11418,2,
11444,1,
11446,1,
11459,2,59762542001
11459,4,59762542001
11459,6,59762542001
11467,3,
11467,5,
11483,4,
11491,4,
11496,2,
11521,1,
11521,2,
11522,7,
11522,8,
11522,9,
11522,10,
11522,11,
11522,12,
11522,13,
11525,1,
11525,2,
11525,3,
11525,4,
11529,2,
11552,1,
11552,2,
11552,3,
11552,4,
11552,5,
11552,6,
11556,3,
11556,4,
11557,1,
11559,1,
11559,2,
11559,3,
11559,4,
11583,2,
11600,1,
11600,3,
11601,3,
11601,6,
11602,1,
11602,3,
11612,1,
11613,2,
11613,4,
11620,2,
11635,3,
11635,6,
11641,3,
11641,6,
11642,2,
11657,1,
11664,1,
11664,2,
11664,3,
11664,4,
11664,5,
11664,6,
11665,1,68682030130
11673,1,
11679,1,
11683,1,
11685,3,
11689,1,
11695,2,
11695,3,
11702,3,
11707,1,
11707,2,
11719,1,61703040841
11719,3,61703040841
11719,4,61703040841
11719,5,61703040841
11719,6,61703040841
11719,7,61703040841
11719,9,61703040841
11719,10,61703040841
11719,11,61703040841
11719,12,61703040841
11719,13,61703040841
11719,14,61703040841
11721,1,
11721,2,
11722,2,
11730,1,
11738,4,
11745,1,
11745,3,
11748,1,
11751,1,
11751,2,
11751,3,
11751,4,
11751,5,
11752,3,
11752,4,
11757,1,9347522
11757,2,9347522
11757,4,9347522
11771,1,
11771,2,
11771,3,
11771,4,
11771,5,
11771,6,
11771,7,
11777,1,
11777,2,
11790,1,
11792,1,51525590101
11792,3,51525590101
11792,4,51525590101
11793,5,
11793,8,
11793,9,
11795,1,
11808,3,
11808,6,
11808,9,
11808,11,
11808,12,
11808,15,
11808,16,
11808,17,
11808,18,
11814,1,
11814,2,
11835,3,
11835,6,
11835,7,
11836,3,
11836,6,
11836,7,
11838,2,
11839,1,59762005802
11839,3,59762005802
11839,4,59762005802
11856,3,9004726
11856,4,9004726
11856,5,9004726
11856,6,9004726
11856,7,9004726
11860,1,
11860,2,
11870,1,65649031112
11878,3,
11878,5,
11891,1,
11891,2,
11909,2,71035060
11914,1,
11945,1,
11949,1,
11950,6,
11950,7,
11950,9,
11958,2,
11958,3,
11960,4,
11961,1,
11963,1,
11963,2,
11963,3,
11963,4,
11964,1,
11971,1,
11971,2,
11977,1,
11983,2,
11984,1,
12003,1,
12015,1,
12026,2,
12034,1,
12034,4,
12034,5,
12034,6,
12041,1,3049420
12052,1,
12071,2,
12071,4,
12093,1,68682019301
12093,2,68682019301
12093,5,68682019301
12093,6,68682019301
12093,7,68682019301
12095,1,
12097,1,
12102,1,
12104,1,10631009362
12111,2,
12111,4,
12122,1,
12122,2,
12125,2,
12125,3,
12126,1,
12128,2,
12128,3,
12141,1,
12141,2,
12142,1,
12142,2,
12142,3,
12142,4,
12142,5,
12142,6,
12142,7,
12142,8,
12142,9,
12142,10,
12145,3,
12148,1,
12148,2,
12148,3,
12151,8,25100131
12151,9,25100131
12151,10,25100131
12154,1,
12155,1,
12157,1,
12164,1,
12164,2,
12164,3,
12179,1,50383088915
12184,2,
12193,5,
12209,1,
12209,2,
12223,1,
12223,2,
12248,1,
12249,1,
12249,2,
12249,3,
12250,1,
12250,2,
12250,5,
12254,2,
12259,2,
12265,1,
12265,2,
12265,3,
12281,1,
12283,3,
12283,4,
12285,1,
12301,1,
12302,2,
12302,4,
12302,5,
12302,6,
12329,1,
12329,2,
12339,7,
12339,8,
12339,9,
12342,3,591559001
12359,3,
12359,4,
12365,5,
12366,2,
12376,2,
12380,1,71023724
12382,2,
12383,1,
12394,2,
12402,1,
12418,2,
12419,4,
12421,1,
12421,2,
12427,2,
12427,3,
12429,1,
12455,2,
12462,1,59762106102
12470,1,
12485,2,
12486,1,
12486,3,
12486,4,
12486,5,
12487,1,
12489,1,
12515,1,
12516,1,
12524,1,
12524,4,
12541,2,
12541,3,
12542,4,
12546,1,
12575,3,
12583,1,
12594,1,
12594,2,
12616,4,66993018802
12616,5,66993018802
12623,1,
12623,3,
12649,1,
12657,3,
12665,1,
12674,1,
12675,4,
12675,7,
12675,9,
12675,10,
12678,1,
12697,1,
12699,1,
12703,1,
12703,3,
12703,4,
12703,5,
12703,6,
12703,7,
12704,1,
12708,5,
12715,2,
12715,3,
12728,1,
12728,4,
12728,5,
12731,2,
12737,1,
12750,1,42494040901
12753,1,
12754,2,
12768,1,
12768,2,
12768,4,
12770,1,50383090110
12772,5,
12772,6,
12775,1,
12775,2,
12787,2,
12787,4,
12787,5,
12796,2,
12802,1,
12806,1,
12806,2,
12806,3,
12806,4,
12813,2,
12827,1,16571074409
12827,2,16571074409
12836,3,
12836,4,
12836,5,
12845,1,
12845,2,
12845,3,
12882,1,
12882,2,
12885,1,
12892,1,
12911,1,
12911,2,
12928,2,
12928,4,
12928,6,
12936,1,
12940,3,
12940,4,
12940,5,
12945,1,
12947,1,
12967,1,
12968,1,
12972,1,
12972,2,
13025,1,
13025,2,
13026,2,
13055,1,
13077,1,
13092,2,
13093,1,
13132,1,
13132,2,
13132,3,
13157,2,
13174,1,66993083102
13174,2,66993083102
13217,1,
13217,3,
13220,2,
13247,1,
13263,2,
13263,4,
13263,6,
13264,1,
13294,1,
13295,1,
13295,2,
13296,1,
13319,1,
13334,2,
13378,1,
13378,2,
13400,1,
13400,2,
13400,3,
13401,1,
13402,1,
13402,2,
13402,3,
13402,4,
13413,1,
13416,3,
13416,4,
13420,1,
13422,1,78092525
13428,1,
13448,2,
13448,3,
13448,4,
13483,3,
13483,4,
13538,1,
13553,1,
13601,1,
13601,2,
13615,1,
13615,2,
13621,1,
13621,2,
13625,2,
13625,4,
13636,1,
13664,2,
13684,1,
13684,2,
13684,3,
13684,4,
13684,5,
13684,6,
13684,7,
13684,8,
13731,1,
13790,1,
13927,1,
13934,1,
13935,2,
13960,1,
13993,1,
13993,2,
14005,2,
14006,2,
14103,1,
14103,2,
14103,3,
14122,2,
14127,1,
14134,1,
14169,1,
14173,1,
14214,2,
14214,4,
14214,5,
14215,2,
14217,2,
14242,1,
14295,1,
14322,1,
14322,2,
14349,2,
14359,1,
14359,2,
14368,2,
14368,4,
14394,1,
14399,1,
14399,3,
14399,4,
14399,5,
14399,6,
14399,7,
14474,2,
14474,4,
14547,1,
14547,2,
14601,1,
14602,1,78206011801
14684,1,
14684,2,
14685,1,
14691,2,
14694,2,
14694,3,
14694,4,
14696,1,
14713,2,
14713,4,
14713,6,
14713,7,
14715,2,
14715,3,
14715,4,
14715,5,
14715,6,
14738,1,
14740,2,
14740,4,
14740,6,
14762,1,
14763,3,
14763,4,
14763,5,
14763,7,
14763,8,
14764,1,
14860,2,
14879,1,
14882,1,
14882,2,
14901,1,3029328
14901,2,3029328
15034,3,
15072,2,
15103,1,
15103,2,
15139,5,
15139,6,
15193,1,187301220
15197,1,49411005030
15197,2,49411005030
15229,2,
15230,2,
15296,1,
15417,2,
15417,3,
15419,2,
15426,1,
15426,2,
15438,1,
15438,2,
15500,2,
15500,4,
15500,5,
15539,2,
15539,4,
15539,6,
15539,8,
15865,1,
15868,1,
15874,1,
15874,2,
15921,1,
15921,2,
15921,3,
15921,4,
15921,5,
15921,6,
15922,1,
15923,1,
16000,2,
16001,1,
16001,2,
16008,1,
16012,1,
16012,2,
16016,1,
16016,2,
16020,1,
16023,2,
16029,2,
16029,3,
16030,1,
16030,2,
16033,1,
16042,2,
16042,3,
16047,1,
16049,1,
16053,2,
16059,1,
16059,2,
16069,1,
16080,1,
16080,2,
16080,3,
16080,4,
16080,5,
16080,6,
16080,7,
16084,1,
16084,2,
16084,3,
16087,1,
16092,1,68682001110
16092,2,68682001110
16093,1,
16096,1,
16097,1,
16099,2,
16110,1,
16118,1,
16118,2,
16119,1,
16126,1,
16126,2,
16131,2,
16144,1,
16149,2,
16151,1,47781057701
16161,2,
16191,1,
16191,2,
16192,1,
16192,2,
16194,1,
16199,1,62559013807
16211,1,
16224,1,
16224,2,
16224,3,
16235,1,
16245,1,
16245,2,
16249,1,
16267,1,
16267,2,
16269,1,
16269,2,
16269,3,
16269,4,
16269,5,
16269,6,
16273,1,30698006701
16273,2,30698006701
16273,3,30698006701
16295,1,3633717
16295,2,3633717
16295,3,3633717
16295,4,3633717
16297,1,
16320,1,68850001202
16320,2,68850001202
16320,3,68850001202
16320,4,68850001202
16322,1,
16322,2,
16324,1,
16324,2,
16363,1,
16366,1,
16367,2,
16379,1,
16401,1,
16402,1,
16403,1,
16403,2,
16403,3,
16418,1,
16418,2,
16418,3,
16418,4,
16418,9,
16418,10,
16419,1,
16455,1,
16466,1,
16466,2,
16472,2,
16472,4,
16472,5,
16515,1,
16515,2,
16517,1,
16517,2,
16584,1,
16584,2,
16584,3,
16584,4,
16584,5,
16608,1,78050905
16619,1,17478003020
16620,1,904713661
16620,2,904713661
16620,3,904713661
16624,3,
16636,1,
16636,2,
16636,3,
16640,1,
16640,3,
16647,1,
16649,1,
16659,1,
16666,1,
16672,1,
16673,1,338001704
16673,3,338001704
16675,1,
16677,1,338004941
16677,3,338004941
16677,4,338004941
16678,1,
16679,1,
16680,1,
16680,2,
16680,3,
16680,4,
16682,1,
16683,1,338008504
16687,1,
16689,1,
16692,1,
16693,1,
16694,1,
16695,1,
16696,1,
16697,1,
16704,2,
16705,1,
16708,1,
16709,1,
16715,1,
16715,2,
16717,1,
16721,1,
16721,2,
16723,1,
16724,1,
16725,1,
16727,1,
16729,1,
16730,1,
16730,2,
16732,1,
16733,1,264220170
16734,1,264210100
16740,1,
16741,1,
16749,1,
16750,1,
16755,1,
16758,1,
16763,1,
16765,1,
16766,1,
16768,2,
16768,3,
16769,1,
16772,2,
16774,1,
16774,2,
16774,3,
16774,4,
16775,1,
16776,2,
16776,3,
16782,1,
16783,1,
16784,1,
16785,1,
16792,1,
16792,2,
16792,3,
16793,1,
16793,2,
16793,3,
16793,4,
16796,1,
16798,1,
16798,2,
16798,3,
16798,5,
16798,6,
16798,7,
16801,1,
16801,2,
16801,3,
16801,4,
16801,5,
16803,1,
16806,1,
16807,1,
16807,2,
16807,3,
16807,4,
16807,5,
16807,6,
16809,2,
16812,1,
16812,2,
16812,3,
16813,1,
16814,1,
16818,6,
16820,1,
16822,1,
16822,2,
16822,3,
16822,4,
16822,5,
